source	improve_sample_id	improve_chem_id	study	auc	ic50	ec50	ec50se	r2fit	einf	hs	aac1	auc1	dss1
CCLE	ACH-000956	Drug_614	fake_exp	0.6525	6.451	6.61	0.1109	0.9672	0.2011	1.41	0.3452	0.6548	0.3063
CCLE	ACH-000956	Drug_802	fake_exp	0.9074		5.62	0.1436	0.5725	0.6572	4.0	0.0513	0.9487	0.0333
CCLE	ACH-000956	Drug_435	fake_exp	0.8148	5.111	5.111	2.816	0.9768	0.0	2.372	0.0383	0.9617	0.0232
CCLE	ACH-000956	Drug_1507	fake_exp	0.8261	5.044	5.044	387.8	0.721	0.0	4.0	0.0149	0.9851	0.0069
CCLE	ACH-000956	Drug_665	fake_exp	0.9526		7.996	6.649	0.0359	0.9252	0.3343	0.0512	0.9488	0.0
CCLE	ACH-000956	Drug_1005	fake_exp	0.8051	5.298	5.36	0.2716	0.9914	0.1402	2.315	0.0747	0.9253	0.0562
CCLE	ACH-000956	Drug_1040	fake_exp	0.8944	4.782	4.866	2013.0	0.7741	0.2687	4.0	0.0026	0.9974	0.0
CCLE	ACH-000323	Drug_749	fake_exp	0.8126	5.57	5.764	0.0229	0.9972	0.3626	2.899	0.1216	0.8784	0.1008
CCLE	ACH-000323	Drug_1326	fake_exp	0.6385	5.874	5.874	10.89	0.3327	0.0	0.2833	0.3597	0.6403	0.2885
CCLE	ACH-000323	Drug_490	fake_exp	0.4959	7.144	7.159	0.0214	0.9973	0.0426	2.648	0.5632	0.4368	0.5438
CCLE	ACH-000323	Drug_558	fake_exp	0.8822		5.937	0.2105	0.8685	0.6351	1.895	0.088	0.912	0.0556
CCLE	ACH-000323	Drug_195	fake_exp	0.4573	7.411	7.444	0.0741	0.9789	0.0547	1.511	0.6318	0.3682	0.6
CCLE	ACH-000323	Drug_1279	fake_exp	0.8691		10.11	0.0	-0.0	0.7383	0.0	0.1309	0.8691	0.0343
CCLE	ACH-000323	Drug_1087	fake_exp	0.7881	5.246	5.246	1.34	0.8613	0.0	0.9848	0.1102	0.8898	0.0724
CCLE	ACH-000323	Drug_1127	fake_exp	0.317	9.035	9.492	0.9416	0.5961	0.1868	0.4445	0.7391	0.2609	0.7101
CCLE	ACH-000323	Drug_685	fake_exp	0.8527	2.115	2.115	145.7	0.1137	0.0	0.1701	0.142	0.858	0.0506
CCLE	ACH-000323	Drug_564	fake_exp	0.845		6.445	0.3981	0.6206	0.6196	4.0	0.1463	0.8537	0.1123
CCLE	ACH-000323	Drug_1520	fake_exp	0.7425	5.559	5.566	0.1772	0.9441	0.0134	1.861	0.1402	0.8598	0.117
CCLE	ACH-000323	Drug_643	fake_exp	0.7088	5.747	5.747	0.0188	0.999	0.0	1.904	0.1892	0.8108	0.1661
CCLE	ACH-000323	Drug_883	fake_exp	0.8576		5.822	0.0797	0.9801	0.531	4.0	0.097	0.903	0.0764
CCLE	ACH-000323	Drug_614	fake_exp	0.458	7.46	7.617	0.6145	0.6947	0.0949	0.5789	0.6113	0.3887	0.5681
CCLE	ACH-000323	Drug_802	fake_exp	0.8025	5.184	5.184	3.746	0.7325	0.0	2.036	0.0559	0.9441	0.0374
CCLE	ACH-000323	Drug_435	fake_exp	0.8564	4.779	4.779	4.618	0.7584	0.0	0.9225	0.0553	0.9447	0.023
CCLE	ACH-000323	Drug_1507	fake_exp	0.9051		11.85	0.0	-0.0	0.8102	0.0	0.0949	0.9051	0.0
CCLE	ACH-000323	Drug_665	fake_exp	0.7567	5.382	5.382	1.697	0.8586	0.0	0.6515	0.1752	0.8248	0.1187
CCLE	ACH-000323	Drug_1005	fake_exp	0.888	2.954	2.954	74.32	0.1485	0.0	0.2653	0.0971	0.9029	0.0233
CCLE	ACH-000323	Drug_1040	fake_exp	0.8316	5.465	5.616	0.0776	0.8726	0.3747	4.0	0.0927	0.9073	0.0771
CCLE	ACH-000905	Drug_749	fake_exp	0.7833	5.284	5.284	0.2535	0.9937	0.0	1.08	0.1093	0.8907	0.0741
CCLE	ACH-000905	Drug_1326	fake_exp	0.8259	5.421	5.53	0.1367	0.9902	0.3176	4.0	0.0848	0.9152	0.0707
CCLE	ACH-000905	Drug_490	fake_exp	0.4646	7.313	7.33	0.0176	0.9987	0.0355	1.89	0.6143	0.3857	0.5886
CCLE	ACH-000905	Drug_558	fake_exp	0.8076	5.154	5.154	81.28	0.8869	0.0	4.0	0.0308	0.9692	0.0211
CCLE	ACH-000905	Drug_895	fake_exp	0.4997	7.137	7.168	0.0941	0.9707	0.0526	1.549	0.5595	0.4405	0.5282
