Label,auc,improve_sample_id,improve_chem_id
0.9783,0.9783,ACH-000801,Drug_435
0.9459,0.9459,ACH-000801,Drug_1507
0.8951,0.8951,ACH-000801,Drug_665
0.839,0.839,ACH-000801,Drug_1005
0.9571,0.9571,ACH-000801,Drug_1040
0.8648,0.8648,ACH-000813,Drug_749
0.7904,0.7904,ACH-000813,Drug_1326
0.5306,0.5306,ACH-000813,Drug_490
0.9889,0.9889,ACH-000813,Drug_558
0.7502,0.7502,ACH-000813,Drug_895
0.8073,0.8073,ACH-000813,Drug_1279
0.7031,0.7031,ACH-000813,Drug_1087
0.9181,0.9181,ACH-000813,Drug_768
0.4395,0.4395,ACH-000813,Drug_1127
0.7705,0.7705,ACH-000813,Drug_685
0.9661,0.9661,ACH-000813,Drug_413
0.957,0.957,ACH-000813,Drug_564
0.7687,0.7687,ACH-000813,Drug_870
0.8586,0.8586,ACH-000813,Drug_1520
0.8179,0.8179,ACH-000813,Drug_643
0.8505,0.8505,ACH-000813,Drug_883
0.4425,0.4425,ACH-000813,Drug_614
0.8464,0.8464,ACH-000813,Drug_802
0.8701,0.8701,ACH-000813,Drug_435
0.9301,0.9301,ACH-000813,Drug_1507
0.9102,0.9102,ACH-000813,Drug_665
0.9223,0.9223,ACH-000813,Drug_1005
1.0,1.0,ACH-000813,Drug_1040
0.7456,0.7456,ACH-000837,Drug_749
0.7411,0.7411,ACH-000837,Drug_1326
0.4957,0.4957,ACH-000837,Drug_490
0.8621,0.8621,ACH-000837,Drug_558
0.5993,0.5993,ACH-000837,Drug_895
0.6635,0.6635,ACH-000837,Drug_195
0.9252,0.9252,ACH-000837,Drug_1279
0.3761,0.3761,ACH-000837,Drug_1127
0.6309,0.6309,ACH-000837,Drug_685
0.8927,0.8927,ACH-000837,Drug_413
0.8517,0.8517,ACH-000837,Drug_1520
0.9145,0.9145,ACH-000837,Drug_643
0.6689,0.6689,ACH-000837,Drug_883
0.4725,0.4725,ACH-000837,Drug_614
0.9968,0.9968,ACH-000837,Drug_802
0.6974,0.6974,ACH-000837,Drug_435
0.9892,0.9892,ACH-000837,Drug_1507
0.7196,0.7196,ACH-000837,Drug_665
0.8334,0.8334,ACH-000837,Drug_1005
0.9252,0.9252,ACH-000837,Drug_1040
0.86,0.86,ACH-000845,Drug_749
0.8447,0.8447,ACH-000845,Drug_1326
0.5469,0.5469,ACH-000845,Drug_490
0.9705,0.9705,ACH-000845,Drug_558
0.7529,0.7529,ACH-000845,Drug_895
0.8087,0.8087,ACH-000845,Drug_195
0.9543,0.9543,ACH-000845,Drug_1279
0.8821,0.8821,ACH-000845,Drug_1087
0.5666,0.5666,ACH-000845,Drug_1127
0.9191,0.9191,ACH-000845,Drug_685
0.9828,0.9828,ACH-000845,Drug_413
0.857,0.857,ACH-000845,Drug_564
0.8055,0.8055,ACH-000845,Drug_870
0.8223,0.8223,ACH-000845,Drug_643
0.5936,0.5936,ACH-000845,Drug_614
0.8361,0.8361,ACH-000845,Drug_802
0.8308,0.8308,ACH-000845,Drug_435
0.9709,0.9709,ACH-000845,Drug_1507
0.9065,0.9065,ACH-000845,Drug_1005
0.7371,0.7371,ACH-000899,Drug_749
0.8874,0.8874,ACH-000899,Drug_558
0.5583,0.5583,ACH-000899,Drug_895
0.6371,0.6371,ACH-000899,Drug_195
0.9503,0.9503,ACH-000899,Drug_1279
0.3217,0.3217,ACH-000899,Drug_1087
0.4579,0.4579,ACH-000899,Drug_1127
0.8011,0.8011,ACH-000899,Drug_413
0.5914,0.5914,ACH-000899,Drug_564
0.617,0.617,ACH-000899,Drug_870
0.888,0.888,ACH-000899,Drug_1520
0.792,0.792,ACH-000899,Drug_643
0.85,0.85,ACH-000899,Drug_883
0.5146,0.5146,ACH-000899,Drug_614
0.8552,0.8552,ACH-000899,Drug_802
0.9462,0.9462,ACH-000899,Drug_435
0.9124,0.9124,ACH-000899,Drug_1507
0.822,0.822,ACH-000899,Drug_1005
0.838,0.838,ACH-000899,Drug_1040
0.9027,0.9027,ACH-000909,Drug_749
0.7569,0.7569,ACH-000909,Drug_1326
0.4065,0.4065,ACH-000909,Drug_490
0.9413,0.9413,ACH-000909,Drug_558
0.9409,0.9409,ACH-000909,Drug_1279
0.353,0.353,ACH-000909,Drug_1127
0.9313,0.9313,ACH-000909,Drug_685
0.8789,0.8789,ACH-000909,Drug_564
0.93,0.93,ACH-000909,Drug_883
0.4652,0.4652,ACH-000909,Drug_614
0.8171,0.8171,ACH-000909,Drug_802
0.8472,0.8472,ACH-000909,Drug_435
0.8165,0.8165,ACH-000909,Drug_1507
0.8582,0.8582,ACH-000909,Drug_665
0.8025,0.8025,ACH-000909,Drug_1005
0.8614,0.8614,ACH-000001,Drug_749
0.7941,0.7941,ACH-000001,Drug_1326
0.4888,0.4888,ACH-000001,Drug_490
0.8136,0.8136,ACH-000001,Drug_558
0.6046,0.6046,ACH-000001,Drug_895
0.7459,0.7459,ACH-000001,Drug_195
0.968,0.968,ACH-000001,Drug_1279
0.8177,0.8177,ACH-000001,Drug_1087
0.9783,0.9783,ACH-000001,Drug_768
0.4536,0.4536,ACH-000001,Drug_1127
0.9088,0.9088,ACH-000001,Drug_685
0.8667,0.8667,ACH-000001,Drug_413
0.8963,0.8963,ACH-000001,Drug_564
0.7239,0.7239,ACH-000001,Drug_1520
0.894,0.894,ACH-000001,Drug_643
0.83,0.83,ACH-000001,Drug_883
0.7355,0.7355,ACH-000001,Drug_614
0.9799,0.9799,ACH-000001,Drug_802
0.822,0.822,ACH-000001,Drug_435
0.9459,0.9459,ACH-000001,Drug_1507
0.7218,0.7218,ACH-000001,Drug_665
0.8245,0.8245,ACH-000001,Drug_1005
0.9375,0.9375,ACH-000005,Drug_749
0.9318,0.9318,ACH-000005,Drug_1326
0.4813,0.4813,ACH-000005,Drug_490
0.9586,0.9586,ACH-000005,Drug_558
0.9413,0.9413,ACH-000005,Drug_1279
0.9418,0.9418,ACH-000005,Drug_1087
0.9513,0.9513,ACH-000005,Drug_685
0.9168,0.9168,ACH-000005,Drug_413
0.7954,0.7954,ACH-000005,Drug_870
0.931,0.931,ACH-000005,Drug_1520
0.8595,0.8595,ACH-000005,Drug_643
0.9693,0.9693,ACH-000005,Drug_883
0.7388,0.7388,ACH-000005,Drug_614
0.961,0.961,ACH-000005,Drug_802
0.9937,0.9937,ACH-000005,Drug_435
0.9334,0.9334,ACH-000005,Drug_1507
0.9905,0.9905,ACH-000005,Drug_1005
0.9899,0.9899,ACH-000005,Drug_1040
0.6939,0.6939,ACH-000007,Drug_749
0.8166,0.8166,ACH-000007,Drug_1326
0.4515,0.4515,ACH-000007,Drug_490
0.8167,0.8167,ACH-000007,Drug_558
0.6092,0.6092,ACH-000007,Drug_895
0.5245,0.5245,ACH-000007,Drug_195
0.8905,0.8905,ACH-000007,Drug_1279
0.4469,0.4469,ACH-000007,Drug_1087
0.7964,0.7964,ACH-000007,Drug_768
0.4383,0.4383,ACH-000007,Drug_1127
0.6206,0.6206,ACH-000007,Drug_685
0.8287,0.8287,ACH-000007,Drug_413
0.97,0.97,ACH-000007,Drug_564
0.7525,0.7525,ACH-000007,Drug_870
0.6596,0.6596,ACH-000007,Drug_1520
0.7634,0.7634,ACH-000007,Drug_643
0.4736,0.4736,ACH-000007,Drug_614
0.7278,0.7278,ACH-000007,Drug_435
0.7682,0.7682,ACH-000007,Drug_1507
0.8136,0.8136,ACH-000007,Drug_665
0.8004,0.8004,ACH-000007,Drug_1040
0.7527,0.7527,ACH-000009,Drug_749
0.4404,0.4404,ACH-000009,Drug_490
0.838,0.838,ACH-000009,Drug_558
0.7656,0.7656,ACH-000009,Drug_195
0.8352,0.8352,ACH-000009,Drug_1279
0.6666,0.6666,ACH-000009,Drug_1087
0.8578,0.8578,ACH-000009,Drug_768
0.8091,0.8091,ACH-000009,Drug_413
0.935,0.935,ACH-000009,Drug_564
0.7629,0.7629,ACH-000009,Drug_1520
0.8325,0.8325,ACH-000009,Drug_643
0.8162,0.8162,ACH-000009,Drug_883
0.7051,0.7051,ACH-000009,Drug_614
0.7571,0.7571,ACH-000009,Drug_435
0.927,0.927,ACH-000009,Drug_1507
0.8165,0.8165,ACH-000009,Drug_1005
0.986,0.986,ACH-000009,Drug_1040
0.6191,0.6191,ACH-000012,Drug_1326
0.5249,0.5249,ACH-000012,Drug_490
0.949,0.949,ACH-000012,Drug_558
0.7437,0.7437,ACH-000012,Drug_195
0.8973,0.8973,ACH-000012,Drug_1279
0.5321,0.5321,ACH-000012,Drug_1127
0.9837,0.9837,ACH-000012,Drug_685
0.9266,0.9266,ACH-000012,Drug_564
0.778,0.778,ACH-000012,Drug_1520
0.5066,0.5066,ACH-000012,Drug_883
0.6259,0.6259,ACH-000012,Drug_614
0.8838,0.8838,ACH-000012,Drug_802
0.7957,0.7957,ACH-000012,Drug_435
0.9847,0.9847,ACH-000012,Drug_1507
0.6335,0.6335,ACH-000012,Drug_665
0.952,0.952,ACH-000012,Drug_1005
0.8368,0.8368,ACH-000012,Drug_1040
0.8295,0.8295,ACH-000013,Drug_749
0.7623,0.7623,ACH-000013,Drug_1326
0.8334,0.8334,ACH-000013,Drug_558
0.6397,0.6397,ACH-000013,Drug_895
0.6365,0.6365,ACH-000013,Drug_195
0.9347,0.9347,ACH-000013,Drug_1279
0.8491,0.8491,ACH-000013,Drug_1087
0.8596,0.8596,ACH-000013,Drug_768
0.2793,0.2793,ACH-000013,Drug_1127
0.896,0.896,ACH-000013,Drug_685
0.8758,0.8758,ACH-000013,Drug_413
0.8308,0.8308,ACH-000013,Drug_564
0.7359,0.7359,ACH-000013,Drug_870
0.845,0.845,ACH-000013,Drug_1520
0.8837,0.8837,ACH-000013,Drug_643
0.8073,0.8073,ACH-000013,Drug_883
0.6344,0.6344,ACH-000013,Drug_614
0.9597,0.9597,ACH-000013,Drug_802
0.8435,0.8435,ACH-000013,Drug_435
0.9656,0.9656,ACH-000013,Drug_1507
0.7408,0.7408,ACH-000013,Drug_665
0.8675,0.8675,ACH-000013,Drug_1040
0.9235,0.9235,ACH-000014,Drug_1326
1.0,1.0,ACH-000014,Drug_558
0.6009,0.6009,ACH-000014,Drug_895
0.6732,0.6732,ACH-000014,Drug_195
0.7373,0.7373,ACH-000014,Drug_1087
0.943,0.943,ACH-000014,Drug_768
0.4244,0.4244,ACH-000014,Drug_1127
0.8527,0.8527,ACH-000014,Drug_685
0.9522,0.9522,ACH-000014,Drug_413
0.889,0.889,ACH-000014,Drug_564
0.7791,0.7791,ACH-000014,Drug_870
0.8042,0.8042,ACH-000014,Drug_1520
0.8813,0.8813,ACH-000014,Drug_643
0.8773,0.8773,ACH-000014,Drug_883
0.6112,0.6112,ACH-000014,Drug_614
0.8285,0.8285,ACH-000014,Drug_1507
0.8271,0.8271,ACH-000014,Drug_665
0.8678,0.8678,ACH-000014,Drug_1005
0.8801,0.8801,ACH-000014,Drug_1040
0.8383,0.8383,ACH-000017,Drug_1326
0.4095,0.4095,ACH-000017,Drug_490
0.4799,0.4799,ACH-000017,Drug_895
0.5009,0.5009,ACH-000017,Drug_195
0.9059,0.9059,ACH-000017,Drug_1279
0.983,0.983,ACH-000017,Drug_1087
1.0,1.0,ACH-000017,Drug_768
0.4592,0.4592,ACH-000017,Drug_1127
0.9914,0.9914,ACH-000017,Drug_685
0.8261,0.8261,ACH-000017,Drug_413
0.917,0.917,ACH-000017,Drug_564
0.7356,0.7356,ACH-000017,Drug_870
0.994,0.994,ACH-000017,Drug_1520
0.9012,0.9012,ACH-000017,Drug_643
0.622,0.622,ACH-000017,Drug_614
0.621,0.621,ACH-000017,Drug_435
0.995,0.995,ACH-000017,Drug_1507
1.0,1.0,ACH-000017,Drug_1005
0.8408,0.8408,ACH-000018,Drug_749
0.8622,0.8622,ACH-000018,Drug_1326
0.4893,0.4893,ACH-000018,Drug_490
0.5207,0.5207,ACH-000018,Drug_895
0.5723,0.5723,ACH-000018,Drug_195
0.9105,0.9105,ACH-000018,Drug_1279
0.7351,0.7351,ACH-000018,Drug_1087
0.9601,0.9601,ACH-000018,Drug_768
0.8093,0.8093,ACH-000018,Drug_685
0.8553,0.8553,ACH-000018,Drug_413
0.8575,0.8575,ACH-000018,Drug_564
0.6735,0.6735,ACH-000018,Drug_870
0.7605,0.7605,ACH-000018,Drug_1520
0.7439,0.7439,ACH-000018,Drug_643
0.8123,0.8123,ACH-000018,Drug_883
0.5974,0.5974,ACH-000018,Drug_614
0.9356,0.9356,ACH-000018,Drug_435
0.8013,0.8013,ACH-000018,Drug_665
0.8592,0.8592,ACH-000018,Drug_1005
0.883,0.883,ACH-000018,Drug_1040
0.6379,0.6379,ACH-000019,Drug_749
0.8158,0.8158,ACH-000019,Drug_1326
0.5891,0.5891,ACH-000019,Drug_895
0.7304,0.7304,ACH-000019,Drug_195
0.9264,0.9264,ACH-000019,Drug_1279
0.7853,0.7853,ACH-000019,Drug_1087
0.7775,0.7775,ACH-000019,Drug_768
0.1678,0.1678,ACH-000019,Drug_1127
0.7931,0.7931,ACH-000019,Drug_685
0.8812,0.8812,ACH-000019,Drug_413
0.7337,0.7337,ACH-000019,Drug_564
